Year,Event Name,Country/Region,Disaster Type,Deaths,Economic Loss (USD),Loss as % of GDP,Source,Catastrophic,Insured Loss (USD)
1971,Tornado in NEVADA,NEVADA,Tornado,0,0,0,NOAA Storm Events,No,0
1971,Hail in MARYLAND,MARYLAND,Hail,0,0,0,NOAA Storm Events,No,0
1971,Tornado in MICHIGAN,MICHIGAN,Tornado,0,0,0,NOAA Storm Events,No,0
1971,Tornado in ARIZONA,ARIZONA,Tornado,0,25000,0,NOAA Storm Events,No,0
1971,Thunderstorm Wind in ARKANSAS,ARKANSAS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Hail in ARKANSAS,ARKANSAS,Hail,0,0,0,NOAA Storm Events,No,0
1971,Thunderstorm Wind in ARIZONA,ARIZONA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Hail in ARIZONA,ARIZONA,Hail,0,0,0,NOAA Storm Events,No,0
1971,Hail in MISSOURI,MISSOURI,Hail,0,0,0,NOAA Storm Events,No,0
1971,Hail in MASSACHUSETTS,MASSACHUSETTS,Hail,0,0,0,NOAA Storm Events,No,0
1971,Tornado in MARYLAND,MARYLAND,Tornado,0,250000,0,NOAA Storm Events,No,0
1971,Thunderstorm Wind in NEW HAMPSHIRE,NEW HAMPSHIRE,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Thunderstorm Wind in DELAWARE,DELAWARE,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Hail in DELAWARE,DELAWARE,Hail,0,0,0,NOAA Storm Events,No,0
1971,Tornado in NORTH DAKOTA,NORTH DAKOTA,Tornado,0,0,0,NOAA Storm Events,No,0
1971,Hail in MAINE,MAINE,Hail,0,0,0,NOAA Storm Events,No,0
1971,Thunderstorm Wind in COLORADO,COLORADO,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Tornado in CONNECTICUT,CONNECTICUT,Tornado,0,25000,0,NOAA Storm Events,No,0
1971,Hail in CONNECTICUT,CONNECTICUT,Hail,0,0,0,NOAA Storm Events,No,0
1971,Tornado in LOUISIANA,LOUISIANA,Tornado,11,2500000,0,NOAA Storm Events,Yes,0
1971,Thunderstorm Wind in LOUISIANA,LOUISIANA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Hail in LOUISIANA,LOUISIANA,Hail,0,0,0,NOAA Storm Events,No,0
1971,Thunderstorm Wind in GEORGIA,GEORGIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Thunderstorm Wind in ILLINOIS,ILLINOIS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Tornado in ILLINOIS,ILLINOIS,Tornado,0,25000,0,NOAA Storm Events,No,0
1971,Tornado in IOWA,IOWA,Tornado,0,250000,0,NOAA Storm Events,No,0
1971,Hail in FLORIDA,FLORIDA,Hail,0,0,0,NOAA Storm Events,No,0
1971,Thunderstorm Wind in INDIANA,INDIANA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Tornado in INDIANA,INDIANA,Tornado,0,25000,0,NOAA Storm Events,No,0
1971,Hail in INDIANA,INDIANA,Hail,0,0,0,NOAA Storm Events,No,0
1971,Thunderstorm Wind in IDAHO,IDAHO,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Thunderstorm Wind in WYOMING,WYOMING,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Tornado in WYOMING,WYOMING,Tornado,0,2500,0,NOAA Storm Events,No,0
1971,Hail in WYOMING,WYOMING,Hail,0,0,0,NOAA Storm Events,No,0
1971,Thunderstorm Wind in RHODE ISLAND,RHODE ISLAND,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Thunderstorm Wind in NEW JERSEY,NEW JERSEY,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Tornado in NEW JERSEY,NEW JERSEY,Tornado,0,250000,0,NOAA Storm Events,No,0
1971,Tornado in KANSAS,KANSAS,Tornado,0,0,0,NOAA Storm Events,No,0
1971,Hail in OREGON,OREGON,Hail,0,0,0,NOAA Storm Events,No,0
1971,Tornado in OREGON,OREGON,Tornado,0,2500,0,NOAA Storm Events,No,0
1971,Thunderstorm Wind in OREGON,OREGON,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Hail in WASHINGTON,WASHINGTON,Hail,0,0,0,NOAA Storm Events,No,0
1971,Thunderstorm Wind in WASHINGTON,WASHINGTON,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Tornado in WASHINGTON,WASHINGTON,Tornado,0,25000,0,NOAA Storm Events,No,0
1971,Thunderstorm Wind in VIRGINIA,VIRGINIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Hail in VIRGINIA,VIRGINIA,Hail,0,0,0,NOAA Storm Events,No,0
1971,Hail in UTAH,UTAH,Hail,0,0,0,NOAA Storm Events,No,0
1971,Thunderstorm Wind in UTAH,UTAH,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Tornado in CALIFORNIA,CALIFORNIA,Tornado,0,0,0,NOAA Storm Events,No,0
1971,Tornado in WISCONSIN,WISCONSIN,Tornado,0,25000,0,NOAA Storm Events,No,0
1971,Thunderstorm Wind in WISCONSIN,WISCONSIN,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1971,Hail in WISCONSIN,WISCONSIN,Hail,0,0,0,NOAA Storm Events,No,0
